                                                                                                 List of relations
 Schema |              Name               |       Type        |  Owner   | Persistence | Access method |    Size    |                                          Description                                          
--------+---------------------------------+-------------------+----------+-------------+---------------+------------+-----------------------------------------------------------------------------------------------
 public | asset_connections               | table             | postgres | permanent   | heap          | 16 kB      | 
 public | asset_connections_id_seq        | sequence          | postgres | permanent   |               | 8192 bytes | 
 public | asset_files                     | table             | postgres | permanent   | heap          | 0 bytes    | 
 public | asset_files_id_seq              | sequence          | postgres | permanent   |               | 8192 bytes | 
 public | asset_tags                      | table             | postgres | permanent   | heap          | 8192 bytes | 
 public | asset_tags_id_seq               | sequence          | postgres | permanent   |               | 8192 bytes | 
 public | assets                          | table             | postgres | permanent   | heap          | 64 kB      | 
 public | assets_id_seq                   | sequence          | postgres | permanent   |               | 8192 bytes | 
 public | audit_logs                      | table             | postgres | permanent   | heap          | 8192 bytes | 
 public | audit_logs_id_seq               | sequence          | postgres | permanent   |               | 8192 bytes | 
 public | auth_audit_logs                 | table             | postgres | permanent   | heap          | 8192 bytes | 
 public | auth_audit_logs_id_seq          | sequence          | postgres | permanent   |               | 8192 bytes | 
 public | auth_email_verifications        | table             | postgres | permanent   | heap          | 8192 bytes | 
 public | auth_email_verifications_id_seq | sequence          | postgres | permanent   |               | 8192 bytes | 
 public | auth_oauth_providers            | table             | postgres | permanent   | heap          | 8192 bytes | 
 public | auth_oauth_providers_id_seq     | sequence          | postgres | permanent   |               | 8192 bytes | 
 public | auth_password_resets            | table             | postgres | permanent   | heap          | 8192 bytes | 
 public | auth_password_resets_id_seq     | sequence          | postgres | permanent   |               | 8192 bytes | 
 public | auth_permissions                | table             | postgres | permanent   | heap          | 16 kB      | 
 public | auth_permissions_id_seq         | sequence          | postgres | permanent   |               | 8192 bytes | 
 public | auth_products                   | table             | postgres | permanent   | heap          | 16 kB      | 
 public | auth_products_id_seq            | sequence          | postgres | permanent   |               | 8192 bytes | 
 public | auth_role_permissions           | table             | postgres | permanent   | heap          | 8192 bytes | 
 public | auth_role_permissions_id_seq    | sequence          | postgres | permanent   |               | 8192 bytes | 
 public | auth_roles                      | table             | postgres | permanent   | heap          | 16 kB      | 
